temperature,humidite_air,humidite_sol,type_sol,culture,N,K,P,engrais,zone,ph_sol,pluie,source,culture_enc,engrais_enc,type_sol_enc,zone_enc
26.0,52.0,38.0,Sableux,Mais,37.0,0.0,0.0,Uree,soudanienne,7.303170733713543,100.14111809877706,reel,2,2,2,1
29.0,52.0,45.0,Limoneux,Sorgho,12.0,0.0,36.0,DAP,soudanienne,6.445076917185776,76.74306990006534,reel,4,0,1,1
34.0,65.0,62.0,Argileux,Coton,7.0,9.0,30.0,DAP,soudanienne,5.6935556583321,107.87491176480553,reel,1,0,0,1
32.0,62.0,34.0,Argileux,Mil,22.0,0.0,20.0,NPK_15_15_15,soudanienne,5.53024505424613,76.02119974316079,reel,3,1,0,1
28.0,54.0,46.0,Argileux,Sorgho,35.0,0.0,0.0,Uree,sahelienne,6.220392373654362,71.98158549873466,reel,4,2,0,0
26.0,52.0,35.0,Sableux,Mil,12.0,10.0,13.0,NPK_15_15_15,soudanienne,5.523055683968067,92.78930834440263,reel,3,1,2,1
25.0,50.0,64.0,Argileux,Coton,9.0,0.0,10.0,NPK_15_15_15,soudanienne,6.0751815527592585,55.19660673423816,reel,1,1,0,1
33.0,64.0,50.0,Limoneux,Sorgho,41.0,0.0,0.0,Uree,soudanienne,6.548751850528347,36.00997999335709,reel,4,2,1,1
30.0,60.0,42.0,Sableux,Mil,21.0,0.0,18.0,NPK_15_15_15,soudanienne,5.803539413279886,111.3211796360587,reel,3,1,2,1
29.0,58.0,33.0,Argileux,Arachide,9.0,7.0,30.0,DAP,sahelienne,5.760694394578866,168.5530872300602,reel,0,0,0,0
27.0,54.0,28.0,Argileux,Arachide,13.0,0.0,40.0,DAP,soudanienne,7.741093589296842,30.56563554517846,reel,0,0,0,1
31.0,62.0,48.0,Sableux,Mais,14.0,15.0,12.0,NPK_15_15_15,sahelienne,6.963675072557223,6.54686812084373,reel,2,1,2,0
25.0,50.0,65.0,Limoneux,Coton,36.0,0.0,0.0,Uree,sahelienne,7.836139216906954,49.36234903080723,reel,1,2,1,0
32.0,62.0,41.0,Argileux,Sorgho,24.0,0.0,22.0,NPK_15_15_15,sahelienne,6.364565409464198,195.94412869076217,reel,4,1,0,0
26.0,52.0,31.0,Argileux,Arachide,14.0,0.0,41.0,DAP,soudanienne,7.192862343322908,165.75161474866786,reel,0,0,0,1
31.0,62.0,49.0,Argileux,Sorgho,10.0,13.0,14.0,NPK_15_15_15,soudanienne,6.011729186554476,119.17321070571931,reel,4,1,0,1
33.0,64.0,34.0,Argileux,Arachide,38.0,0.0,0.0,Uree,sahelienne,7.045850793199853,185.8497830486272,reel,0,2,0,0
25.0,50.0,39.0,Sableux,Mil,21.0,0.0,19.0,NPK_15_15_15,soudanienne,5.823964325024961,89.05582336744892,reel,3,1,2,1
28.0,54.0,65.0,Argileux,Coton,39.0,0.0,0.0,Uree,sahelienne,5.505201597940714,196.6561205150348,reel,1,2,0,0
29.0,58.0,52.0,Limoneux,Sorgho,13.0,0.0,36.0,DAP,soudanienne,7.828829503523948,59.26040902385681,reel,4,0,1,1
30.0,60.0,44.0,Sableux,Mil,10.0,0.0,9.0,NPK_15_15_15,soudanienne,6.887235940438023,48.06114990318782,reel,3,1,2,1
34.0,65.0,53.0,Limoneux,Sorgho,12.0,14.0,12.0,NPK_15_15_15,soudanienne,7.817351656955099,127.6096402294022,reel,4,1,1,1
35.0,68.0,33.0,Argileux,Mil,11.0,0.0,37.0,DAP,sahelienne,6.33457880925518,75.63079359007207,reel,3,0,0,0
28.0,54.0,37.0,Argileux,Mil,36.0,0.0,0.0,Uree,soudanienne,6.319465172904392,125.27310839525157,reel,3,2,0,1
33.0,64.0,39.0,Argileux,Sorgho,13.0,0.0,10.0,NPK_15_15_15,soudanienne,6.50163750443258,60.99910366053716,reel,4,1,0,1
26.0,52.0,44.0,Sableux,Mais,23.0,0.0,20.0,NPK_15_15_15,soudanienne,7.26510245989542,123.58365136759821,reel,2,1,2,1
30.0,60.0,63.0,Argileux,Coton,9.0,9.0,29.0,DAP,sahelienne,6.914521585465436,55.14925211700727,reel,1,0,0,0
32.0,62.0,30.0,Limoneux,Sorgho,38.0,0.0,0.0,Uree,sahelienne,7.813387267747794,10.194413763777987,reel,4,2,1,0
37.0,70.0,32.0,Argileux,Arachide,12.0,0.0,39.0,DAP,soudanienne,5.563602252831099,182.42718038463667,reel,0,0,0,1
26.0,52.0,36.0,Argileux,Arachide,14.0,0.0,13.0,NPK_15_15_15,sahelienne,7.270489844931341,176.64104037469244,reel,0,1,0,0
29.0,58.0,40.0,Argileux,Arachide,24.0,0.0,23.0,NPK_15_15_15,sahelienne,6.325819223416386,194.1596298545344,reel,0,1,0,0
30.0,60.0,27.0,Limoneux,Sorgho,12.0,0.0,40.0,DAP,soudanienne,5.950584129546153,143.30543524428094,reel,4,0,1,1
34.0,65.0,38.0,Argileux,Sorgho,39.0,0.0,0.0,Uree,sahelienne,6.775989056300247,136.5442355470606,reel,4,2,0,0
36.0,68.0,38.0,Sableux,Mil,7.0,9.0,30.0,DAP,soudanienne,6.76265946044999,111.80061401496614,reel,3,0,2,1
26.0,52.0,48.0,Limoneux,Sorgho,23.0,0.0,19.0,NPK_15_15_15,sahelienne,5.842527571721071,25.188483270504534,reel,4,1,1,0
28.0,54.0,35.0,Argileux,Mil,41.0,0.0,0.0,Uree,soudanienne,6.004740140332225,37.84706218985401,reel,3,2,0,1
30.0,60.0,61.0,Limoneux,Coton,8.0,10.0,31.0,DAP,soudanienne,6.5204116622538875,57.89393773450724,reel,1,0,1,1
37.0,70.0,37.0,Argileux,Sorgho,12.0,0.0,41.0,DAP,soudanienne,6.522028530980789,178.03127251467888,reel,4,0,0,1
25.0,50.0,26.0,Argileux,Arachide,15.0,14.0,11.0,NPK_15_15_15,soudanienne,6.293895349049212,34.593904920615024,reel,0,1,0,1
29.0,58.0,34.0,Sableux,Mil,15.0,0.0,37.0,DAP,sahelienne,5.871362878774953,184.57463489757814,reel,3,0,2,0
27.0,54.0,30.0,Argileux,Arachide,13.0,0.0,13.0,NPK_15_15_15,soudanienne,5.510934197752449,104.55714661028344,reel,0,1,0,1
