date,ville,lat,lon,zone,temperature_moy,temperature_max,temperature_min,pluie_jour,humidite_air,vent_moy,rayonnement_solaire,point_rosee,pluie_7j,pluie_14j,mois,annee,saison,etp,humidite_sol,type_sol,ph_sol,culture,stade,culture_enc,stade_enc,saison_enc,zone_enc,irrigation
2015-01-01,Abeche,13.82,20.83,sahelienne,24.34,35.23,15.76,0.0,12.55,2.75,20.96,-7.1,0.0,0.0,1,2015,seche,3.657267986472404,18.47699907107863,2,6.517867061262751,Arachide,Repos,0,3,2,0,1
2015-01-02,Abeche,13.82,20.83,sahelienne,23.51,34.66,14.78,0.0,12.81,3.95,21.23,-7.5,0.0,0.0,1,2015,seche,3.6694534127276093,14.032149891801707,2,7.709639299964003,Arachide,Repos,0,3,2,0,1
2015-01-03,Abeche,13.82,20.83,sahelienne,21.75,32.46,13.86,0.0,14.44,4.84,20.37,-7.73,0.0,0.0,1,2015,seche,3.2604833595454266,19.53381976670485,0,7.320569027638031,Mil,Repos,3,3,2,0,1
2015-01-04,Abeche,13.82,20.83,sahelienne,19.15,29.62,11.39,0.0,14.25,4.95,21.05,-9.45,0.0,0.0,1,2015,seche,3.1163618298445286,25.661208994856178,2,7.349469547381091,Arachide,Repos,0,3,2,0,1
2015-01-05,Abeche,13.82,20.83,sahelienne,18.6,29.41,9.94,0.0,17.7,3.42,20.71,-7.21,0.0,0.0,1,2015,seche,3.1214217874196875,13.360926376936648,2,7.306004633361518,Sorgho,Repos,4,3,2,0,1
2015-01-06,Abeche,13.82,20.83,sahelienne,19.07,29.35,10.54,0.0,17.28,3.17,20.83,-7.02,0.0,0.0,1,2015,seche,3.125682091185255,13.361041301355737,2,7.3030188345849085,Mil,Repos,3,3,2,0,1
2015-01-07,Abeche,13.82,20.83,sahelienne,19.52,29.77,11.54,0.0,17.3,4.15,19.2,-6.61,0.0,0.0,1,2015,seche,2.8709405352988626,26.054489708551742,2,6.796829111950325,Mil,Repos,3,3,2,0,1
2015-01-08,Abeche,13.82,20.83,sahelienne,17.91,28.1,10.51,0.0,20.84,5.23,20.12,-7.06,0.0,0.0,1,2015,seche,2.8277352481142692,20.37204310407036,2,6.924769582728548,Arachide,Repos,0,3,2,0,0
2015-01-09,Abeche,13.82,20.83,sahelienne,16.28,26.53,8.46,0.0,21.71,5.42,20.66,-7.81,0.0,0.0,1,2015,seche,2.808645833293088,11.713679298455336,2,7.231426186750213,Mil,Repos,3,3,2,0,0
2015-01-10,Abeche,13.82,20.83,sahelienne,15.32,25.36,7.25,0.0,22.48,5.49,19.4,-7.02,0.0,0.0,1,2015,seche,2.565897374152388,18.79792030510175,2,7.516766746283669,Mil,Repos,3,3,2,0,1
2015-01-11,Abeche,13.82,20.83,sahelienne,15.17,25.33,7.04,0.0,24.43,4.38,22.16,-6.95,0.0,0.0,1,2015,seche,2.9321322523517224,11.756076150312765,2,6.907930640027653,Sorgho,Repos,4,3,2,0,1
2015-01-12,Abeche,13.82,20.83,sahelienne,15.52,26.49,6.56,0.0,15.7,3.06,22.26,-11.34,0.0,0.0,1,2015,seche,3.107218551650512,11.739891725008203,2,7.70920238749626,Mil,Repos,3,3,2,0,1
2015-01-13,Abeche,13.82,20.83,sahelienne,16.6,28.33,6.75,0.0,14.71,3.09,23.17,-11.51,0.0,0.0,1,2015,seche,3.474547039285536,16.69373590096224,2,7.7158897516715435,Sorgho,Repos,4,3,2,0,1
2015-01-14,Abeche,13.82,20.83,sahelienne,17.99,29.77,7.92,0.0,16.85,3.85,22.53,-9.28,0.0,0.0,1,2015,seche,3.53701262408675,5.0,2,6.910819110734024,Mil,Repos,3,3,2,0,1
2015-01-15,Abeche,13.82,20.83,sahelienne,18.81,30.08,9.52,0.0,23.09,4.11,22.05,-5.25,0.0,0.0,1,2015,seche,3.4348507972113005,5.0,0,7.340097020831155,Mil,Repos,3,3,2,0,1
2015-01-16,Abeche,13.82,20.83,sahelienne,19.25,30.4,10.15,0.0,15.82,3.93,22.6,-8.47,0.0,0.0,1,2015,seche,3.5358771239999998,11.063987295313192,0,7.023384281801094,Sorgho,Repos,4,3,2,0,0
2015-01-17,Abeche,13.82,20.83,sahelienne,19.6,30.93,10.65,0.0,15.78,3.8,22.0,-8.92,0.0,0.0,1,2015,seche,3.477092605876406,7.910182157659033,2,6.7860286031560495,Sorgho,Repos,4,3,2,0,1
2015-01-18,Abeche,13.82,20.83,sahelienne,20.31,31.53,11.75,0.0,14.41,3.52,23.24,-9.45,0.0,0.0,1,2015,seche,3.696376625186212,17.199731328166916,2,7.7089999336937725,Sorgho,Repos,4,3,2,0,1
2015-01-19,Abeche,13.82,20.83,sahelienne,21.19,32.14,11.94,0.0,10.9,3.09,21.91,-11.3,0.0,0.0,1,2015,seche,3.602958805026933,8.643831471351524,2,7.987221827459801,Sorgho,Repos,4,3,2,0,1
2015-01-20,Abeche,13.82,20.83,sahelienne,22.7,33.27,12.76,0.0,10.05,2.71,22.91,-10.68,0.0,0.0,1,2015,seche,3.943219398959244,5.11387409065296,2,7.348578767288537,Mil,Repos,3,3,2,0,0
2015-01-21,Abeche,13.82,20.83,sahelienne,22.86,34.07,13.42,0.0,8.21,1.82,22.68,-12.85,0.0,0.0,1,2015,seche,3.9324069195657883,25.259541382450877,2,7.87092005728954,Mil,Repos,3,3,2,0,1
2015-01-22,Abeche,13.82,20.83,sahelienne,23.18,35.45,13.7,0.0,7.45,2.8,23.01,-13.74,0.0,0.0,1,2015,seche,4.126731399768008,13.41956589659425,2,7.463253211317203,Mil,Repos,3,3,2,0,1
2015-01-23,Abeche,13.82,20.83,sahelienne,23.51,35.66,13.71,0.0,7.65,2.32,23.54,-13.2,0.0,0.0,1,2015,seche,4.2753031509453425,15.472697432815467,0,7.348585552367985,Mil,Repos,3,3,2,0,0
2015-01-24,Abeche,13.82,20.83,sahelienne,24.58,36.41,15.74,0.0,7.12,2.33,23.14,-12.9,0.0,0.0,1,2015,seche,4.183912028412351,5.026762696505802,2,7.220217320071158,Arachide,Repos,0,3,2,0,1
2015-01-25,Abeche,13.82,20.83,sahelienne,25.5,36.93,15.88,0.0,8.23,2.11,23.41,-10.68,0.0,0.0,1,2015,seche,4.364187079872927,11.18932092832372,0,6.853572450040008,Sorgho,Repos,4,3,2,0,0
2015-01-26,Abeche,13.82,20.83,sahelienne,26.74,37.82,17.71,0.0,8.62,2.79,22.57,-9.27,0.0,0.0,1,2015,seche,4.230345185754124,15.776458127969063,2,6.626382906923653,Mil,Repos,3,3,2,0,1
2015-01-27,Abeche,13.82,20.83,sahelienne,27.43,37.75,18.7,0.0,12.03,2.77,22.72,-4.79,0.0,0.0,1,2015,seche,4.208917410615324,6.943044958043881,2,7.163503877025264,Mil,Repos,3,3,2,0,1
2015-01-28,Abeche,13.82,20.83,sahelienne,27.02,37.46,18.03,0.0,15.71,2.32,22.12,-1.96,0.0,0.0,1,2015,seche,4.100920727151175,17.629886128419702,2,7.341964870323286,Arachide,Repos,0,3,2,0,1
